Measurement_DateTime,GPS_FixQuality,GPS_lat,GPS_lon,GPS_alt,Barometer_Altitude,GPS_HDOP,GPS_NSat,GPS_SOG,GPS_COG,Barometer_Pressure,Barometer_Temperature,User_LoggerID
2024-04-18 12:43:31.500,1,40.478668,-74.268240,0.0,-22.6,5.21,3,0.05,0.00,1.01598,11.68,162
2024-04-18 12:43:32.000,1,40.478676,-74.268248,0.5,-22.6,5.21,3,0.00,0.00,1.01598,11.68,162
2024-04-18 12:43:32.500,1,40.478676,-74.268248,0.8,-22.8,5.21,3,0.00,0.00,1.01600,11.68,162
2024-04-18 12:43:35.500,1,40.478720,-74.268328,0.1,-23.0,1.88,5,0.03,0.00,1.01603,11.68,162
2024-04-18 12:43:36.000,1,40.478728,-74.268344,13.2,-22.9,1.55,6,0.03,0.00,1.01601,11.68,162
2024-04-18 12:43:36.500,1,40.478728,-74.268344,17.3,-22.4,1.55,6,0.03,0.00,1.01596,11.68,162
2024-04-18 12:43:37.000,1,40.478732,-74.268344,18.4,-22.4,1.55,6,0.01,0.00,1.01595,11.68,162
2024-04-18 12:43:37.500,1,40.478732,-74.268352,17.3,-22.0,1.55,6,0.06,0.00,1.01591,11.68,162
2024-04-18 12:43:38.000,1,40.478736,-74.268352,18.0,-22.0,1.55,6,0.14,0.00,1.01591,11.68,162
2024-04-18 12:43:38.500,1,40.478736,-74.268352,18.3,-22.1,1.55,6,0.06,0.00,1.01592,11.68,162
2024-04-18 12:43:39.000,1,40.478748,-74.268344,18.0,-21.8,1.31,6,0.22,0.00,1.01589,11.68,162
2024-04-18 12:43:39.500,1,40.478748,-74.268344,17.5,-22.0,1.28,7,0.01,0.00,1.01590,11.68,162
2024-04-18 12:43:40.000,1,40.478756,-74.268344,17.6,-21.8,1.28,7,0.03,0.00,1.01589,11.68,162
2024-04-18 12:43:40.500,1,40.478756,-74.268344,17.5,-21.7,1.28,7,0.05,0.00,1.01587,11.68,162
2024-04-18 12:43:41.000,1,40.478756,-74.268344,17.7,-21.9,1.28,7,0.05,0.00,1.01590,11.68,162
2024-04-18 12:43:41.500,1,40.478756,-74.268336,17.8,-21.7,1.28,7,0.10,0.00,1.01587,11.68,162
2024-04-18 12:43:42.000,1,40.478752,-74.268336,18.2,-22.0,1.28,7,0.08,0.00,1.01591,11.68,162
2024-04-18 12:43:42.500,1,40.478748,-74.268336,18.0,-21.9,1.28,7,0.11,0.00,1.01590,11.68,162
2024-04-18 12:43:43.000,1,40.478744,-74.268336,17.2,-22.0,1.28,7,0.07,0.00,1.01591,11.75,162
2024-04-18 12:43:43.500,1,40.478740,-74.268328,16.4,-22.6,1.28,7,0.08,0.00,1.01598,11.75,162
2024-04-18 12:43:44.000,1,40.478736,-74.268328,15.1,-22.5,1.28,7,0.07,0.00,1.01597,11.75,162
2024-04-18 12:43:44.500,1,40.478732,-74.268320,14.3,-22.4,1.28,7,0.12,0.00,1.01595,11.68,162
2024-04-18 12:43:45.000,1,40.478728,-74.268320,13.4,-22.8,1.28,7,0.09,0.00,1.01600,11.75,162
2024-04-18 12:43:45.500,1,40.478724,-74.268312,12.7,-22.6,1.28,7,0.09,0.00,1.01598,11.68,162
2024-04-18 12:43:46.000,1,40.478720,-74.268312,12.3,-22.7,1.28,7,0.06,0.00,1.01599,11.68,162
2024-04-18 12:43:46.500,1,40.478720,-74.268312,12.0,-22.6,1.28,7,0.03,0.00,1.01598,11.75,162
2024-04-18 12:43:47.000,1,40.478716,-74.268312,11.9,-22.8,1.28,7,0.03,0.00,1.01601,11.75,162
2024-04-18 12:43:47.500,1,40.478716,-74.268312,11.9,-22.6,1.28,7,0.02,0.00,1.01598,11.68,162
2024-04-18 12:43:48.000,1,40.478716,-74.268312,11.7,-22.6,1.28,7,0.01,0.00,1.01598,11.68,162
2024-04-18 12:43:48.500,1,40.478716,-74.268312,11.8,-22.9,1.28,7,0.01,0.00,1.01602,11.75,162
2024-04-18 12:43:49.000,1,40.478716,-74.268312,11.8,-22.9,1.20,8,0.01,0.00,1.01602,11.75,162
2024-04-18 12:43:49.500,1,40.478716,-74.268312,11.9,-22.9,1.20,8,0.11,0.00,1.01602,11.75,162
2024-04-18 12:43:50.000,1,40.478716,-74.268312,12.0,-23.1,1.20,8,0.14,0.00,1.01604,11.75,162
2024-04-18 12:43:50.500,1,40.478716,-74.268312,12.0,-23.0,1.20,8,0.21,0.00,1.01602,11.75,162
2024-04-18 12:43:51.000,1,40.478716,-74.268312,12.2,-23.3,1.20,8,0.02,0.00,1.01606,11.75,162
2024-04-18 12:43:51.500,1,40.478720,-74.268312,12.5,-23.2,1.20,8,0.04,0.00,1.01605,11.75,162
2024-04-18 12:43:52.000,1,40.478716,-74.268312,12.9,-22.9,1.20,8,0.02,0.00,1.01602,11.75,162
2024-04-18 12:43:52.500,1,40.478716,-74.268312,13.2,-22.5,1.20,8,0.05,0.00,1.01597,11.75,162
2024-04-18 12:43:53.000,1,40.478716,-74.268320,13.3,-22.7,1.20,8,0.01,0.00,1.01599,11.75,162
2024-04-18 12:43:53.500,1,40.478716,-74.268320,13.4,-22.5,1.20,8,0.08,0.00,1.01597,11.75,162
2024-04-18 12:43:54.000,1,40.478716,-74.268320,13.6,-22.7,1.20,8,0.06,0.00,1.01600,11.75,162
2024-04-18 12:43:54.500,1,40.478716,-74.268320,13.8,-22.7,1.20,8,0.03,0.00,1.01599,11.75,162
2024-04-18 12:43:55.000,1,40.478712,-74.268320,13.8,-23.0,1.06,9,0.02,0.00,1.01603,11.75,162
2024-04-18 12:43:55.500,1,40.478712,-74.268320,13.8,-22.9,1.06,9,0.09,0.00,1.01602,11.75,162
2024-04-18 12:43:56.000,1,40.478712,-74.268320,13.8,-22.7,1.06,9,0.04,0.00,1.01600,11.75,162
2024-04-18 12:43:56.500,1,40.478712,-74.268320,13.8,-22.3,1.06,9,0.06,0.00,1.01595,11.75,162
2024-04-18 12:43:57.000,1,40.478712,-74.268320,13.7,-22.7,1.06,9,0.15,0.00,1.01600,11.75,162
2024-04-18 12:43:57.500,1,40.478712,-74.268320,13.6,-23.2,1.06,9,0.12,0.00,1.01606,11.75,162
2024-04-18 12:43:58.000,1,40.478708,-74.268320,13.8,-23.0,1.06,9,0.07,0.00,1.01603,11.75,162
2024-04-18 12:43:58.500,1,40.478708,-74.268320,13.9,-23.0,1.06,9,0.10,0.00,1.01602,11.75,162
2024-04-18 12:43:59.000,1,40.478704,-74.268320,14.0,-22.4,1.06,9,0.02,0.00,1.01596,11.75,162
2024-04-18 12:43:59.500,1,40.478704,-74.268328,13.9,-22.7,1.06,9,0.09,0.00,1.01599,11.75,162
2024-04-18 12:44:00.000,1,40.478704,-74.268328,13.9,-22.7,1.06,9,0.05,0.00,1.01600,11.75,162
2024-04-18 12:44:00.500,1,40.478704,-74.268328,13.9,-22.2,1.06,9,0.03,0.00,1.01593,11.75,162
2024-04-18 12:44:01.000,1,40.478704,-74.268328,13.9,-22.5,1.06,9,0.10,0.00,1.01597,11.75,162
2024-04-18 12:44:01.500,1,40.478700,-74.268328,14.1,-22.8,1.06,9,0.12,0.00,1.01601,11.75,162
